ts,open,high,low,close,volume
1740672000000,85472.9,85664.8,83567.4,84084.0,44193.184
1740686400000,84084.0,84894.0,82667.0,84668.1,52192.558
1740700800000,84668.2,84858.6,79500.0,80429.2,150178.095
1740715200000,80429.2,80939.9,78787.0,79159.9,109818.611
1740729600000,79159.9,80800.0,78200.2,80474.3,76070.275
1740744000000,80474.4,84380.9,80030.0,83948.1,103925.229
1740758400000,83948.1,85084.5,83153.3,84393.3,72721.105
1740772800000,84393.3,84743.8,83555.0,84299.6,23629.916
1740787200000,84299.6,85638.0,83779.0,85279.3,31502.988
1740801600000,85279.1,86516.5,84698.8,84707.3,39241.067
1740816000000,84707.2,85452.4,84343.0,84593.6,26089.157
1740830400000,84593.6,84908.5,84285.0,84755.1,17714.663
1740844800000,84755.0,85613.4,84652.0,85431.2,16936.818
1740859200000,85431.1,86219.7,85239.6,86007.7,15511.978
1740873600000,86007.7,86449.9,85571.8,85811.9,18529.902
1740888000000,85812.0,86515.0,85490.0,86191.4,13859.725
1740902400000,86191.4,86219.5,85605.0,86047.0,16697.034
1740916800000,86047.1,88644.0,85015.0,87390.1,74595.642
1740931200000,87390.1,94971.0,87236.0,93467.3,192872.48
1740945600000,93467.2,94800.0,93444.9,94222.8,48156.755
1740960000000,94222.0,94373.4,92380.1,92660.0,37429.12
1740974400000,92660.0,93304.9,91150.0,92318.0,40159.56
1740988800000,92318.0,92888.0,91100.0,92700.0,37107.704
1741003200000,92700.0,93666.0,89100.0,90009.5,115283.973
1741017600000,90009.5,90959.1,85495.5,85552.0,122196.084
1741032000000,85552.0,86999.9,85029.0,86192.7,83855.961
1741046400000,86193.3,86773.5,82420.0,83929.0,106129.625
1741060800000,83928.9,84566.0,83100.3,83159.4,32146.523
1741075200000,83159.4,84359.5,83000.1,83890.1,26599.17
1741089600000,83890.1,84934.9,81200.0,82945.0,118850.856
1741104000000,82945.0,88488.0,81911.1,88165.3,91455.087
1741118400000,88165.3,88931.0,86544.0,87245.9,57253.537
1741132800000,87245.9,87850.0,86328.0,86813.6,31773.108
1741147200000,86813.7,87688.0,86694.0,87573.9,15899.215
1741161600000,87573.9,90625.0,87549.0,89777.6,50928.602
1741176000000,89777.6,90897.1,87890.0,88312.6,93893.227
1741190400000,88312.5,90444.0,87558.0,89711.2,63517.478
1741204800000,89711.2,91000.0,89626.3,90566.1,22989.46
1741219200000,90566.1,91988.0,89955.0,91563.2,37147.404
1741233600000,91563.2,92780.3,91222.0,91311.3,32218.874
1741248000000,91311.4,91642.3,90572.4,91319.2,30673.037
1741262400000,91319.2,91420.0,89070.0,90777.9,79791.931
1741276800000,90777.9,91025.7,87790.5,88488.5,73825.248
1741291200000,88488.5,90748.0,88428.8,89887.8,49402.138
1741305600000,89887.9,91257.7,84600.0,86958.5,132530.28
1741320000000,86958.4,88569.9,86809.2,88308.8,26269.039
1741334400000,88308.8,89666.0,87932.0,88928.8,27344.006
1741348800000,88928.9,91107.9,87979.0,88424.9,106013.324
1741363200000,88425.0,88990.0,86530.0,87787.2,87066.667
1741377600000,87787.3,88494.3,85555.0,86753.8,73250.879
1741392000000,86753.8,86876.5,85108.0,85880.0,27166.455
1741406400000,85880.0,86622.9,85607.7,86159.2,14502.391
1741420800000,86159.2,86422.0,85720.0,85923.9,12411.924
1741435200000,85923.9,86587.0,85774.8,86360.0,14833.073
1741449600000,86360.0,86459.0,85605.5,86190.5,18610.891
1741464000000,86190.5,86458.8,85800.0,86184.7,8581.453
1741478400000,86184.7,86470.6,85902.0,86077.1,10664.199
1741492800000,86077.1,86128.3,85753.3,85968.9,8708.738
1741507200000,85968.8,86092.8,84601.3,84990.1,28696.135
1741521600000,84990.0,85028.1,82619.3,83030.5,56855.474
1741536000000,83030.4,83727.8,82176.9,82604.9,53961.081
1741550400000,82605.0,83515.0,79933.4,80688.8,62723.721
1741564800000,80690.7,82694.2,80001.0,82000.1,51441.0
1741579200000,82000.1,82761.0,81947.0,82277.6,18157.406
1741593600000,82277.7,84031.5,81110.0,83540.2,76138.678
1741608000000,83540.3,83728.2,79142.8,80009.7,124660.837
1741622400000,80009.7,80217.6,77410.1,79037.1,106456.31
1741636800000,79035.3,79844.4,78363.6,78567.8,39532.566
1741651200000,78567.8,79888.0,76560.0,79486.6,78235.731
1741665600000,79486.7,80585.5,79411.2,80386.0,33668.415
1741680000000,80386.0,82061.5,80291.0,81684.6,41608.884
1741694400000,81684.5,82240.0,79026.2,81190.7,139695.873
1741708800000,81190.7,83600.0,80600.0,83060.1,74604.747
1741723200000,83060.1,83261.7,82512.4,82896.0,22965.519
1741737600000,82896.0,83741.8,82066.5,82098.2,35999.113
1741752000000,82098.2,82500.0,81250.0,82402.9,37098.324
1741766400000,82402.8,83046.9,81980.0,82972.0,37875.934
1741780800000,82971.9,84487.0,80578.5,81688.1,122716.834
1741795200000,81688.0,83127.4,81575.6,82877.3,53129.002
1741809600000,82877.3,83849.0,82662.0,83640.7,19351.917
1741824000000,83640.7,84307.1,83267.1,83537.1,24001.951
1741838400000,83537.2,83663.0,82813.2,83118.5,24236.411
1741852800000,83118.6,83494.6,82350.0,82939.5,30560.697
1741867200000,82939.3,84030.0,80914.4,81016.0,88799.609
1741881600000,81016.0,81243.8,79903.4,80177.9,58197.608
1741896000000,80177.5,81450.5,80162.9,81085.4,22163.776
1741910400000,81085.5,82249.0,80772.0,81861.5,27108.918
